paper_id,doi,title,stratum,expected_title,first_author,year,venue,identity_status,identity_score,identity_signal_breakdown,local_pdf,correct_pdf
paper_25fccf802fa0782d,10.1186/1475-2859-11-30,One-step of tryptophan attenuator inactivation and promoter swapping to improve the production of L-tryptophan in Escherichia coli,LIKELY_ENGINEERING,One-step of tryptophan attenuator inactivation and promoter swapping to improve the production of L-tryptophan in Escherichia coli,,,,PROBABLE,0.5,"{""doi_exact"": 0, ""title_token_recall"": 1.0, ""author_overlap"": 1.0, ""venue_match"": 1, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_verification\pdfs\10.1186_1475-2859-11-30.pdf,
paper_bc9e37df79cc5809,10.1371/journal.pone.0179240,Gene modification of the acetate biosynthesis pathway in Escherichia coli and implementation of the cell recycling technology to increase L-tryptophan production,LIKELY_ENGINEERING,Gene modification of the acetate biosynthesis pathway in Escherichia coli and implementation of the cell recycling technology to increase L-tryptophan production,,,,PROBABLE,0.5,"{""doi_exact"": 0, ""title_token_recall"": 1.0, ""author_overlap"": 1.0, ""venue_match"": 1, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1371_journal.pone.0179240.pdf,
paper_e7c21a0773671b4b,10.1128/aem.57.10.2995-2999.1991,Deletion of pgi alters tryptophan biosynthesis in a genetically engineered strain of Escherichia coli,LIKELY_ENGINEERING,Deletion of pgi alters tryptophan biosynthesis in a genetically engineered strain of Escherichia coli,,,,REVIEW_REQUIRED,0.3385,"{""doi_exact"": 0, ""title_token_recall"": 0.4615, ""author_overlap"": 1.0, ""venue_match"": 1, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1128_aem.57.10.2995-2999.1991.pdf,
paper_1f9feaa125da3f24,10.1093/genetics/122.1.19,A system of shuttle vectors and yeast host strains designed for efficient manipulation of DNA in Saccharomyces cerevisiae.,WRONG_PRODUCT_OR_NON_TARGET,A system of shuttle vectors and yeast host strains designed for efficient manipulation of DNA in Saccharomyces cerevisiae.,,,,PROBABLE,0.5,"{""doi_exact"": 0, ""title_token_recall"": 1.0, ""author_overlap"": 1.0, ""venue_match"": 1, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1093_genetics_122.1.19.pdf,
paper_01e86be84a14eb29,10.1128/jb.104.1.177-188.1970,Formation of Aromatic Amino Acid Pools in Escherichia coli K-12,MECHANISM_BOUNDARY,Formation of Aromatic Amino Acid Pools in Escherichia coli K-12,,,,REVIEW_REQUIRED,0.2218,"{""doi_exact"": 0, ""title_token_recall"": 0.2727, ""author_overlap"": 1.0, ""venue_match"": 0, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_verification\pdfs\10.1128_jb.104.1.177-188.1970.pdf,
paper_13dd0223e7ce6d33,10.1128/jb.139.2.393-397.1979,Escherichia coli mutant strain with altered expression of the tryptophan operon: isolation and preliminary characterization,MECHANISM_BOUNDARY,Escherichia coli mutant strain with altered expression of the tryptophan operon: isolation and preliminary characterization,,,,REVIEW_REQUIRED,0.22,"{""doi_exact"": 0, ""title_token_recall"": 0.2667, ""author_overlap"": 1.0, ""venue_match"": 0, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1128_jb.139.2.393-397.1979.pdf,
paper_8052e9e906d2fda6,10.1128/jb.139.2.398-403.1979,Escherichia coli mutant strain with altered expression of the tryptophan operon: ribonucleic acid synthesis in vitro,MECHANISM_BOUNDARY,Escherichia coli mutant strain with altered expression of the tryptophan operon: ribonucleic acid synthesis in vitro,,,,REVIEW_REQUIRED,0.1963,"{""doi_exact"": 0, ""title_token_recall"": 0.1875, ""author_overlap"": 1.0, ""venue_match"": 0, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1128_jb.139.2.398-403.1979.pdf,
paper_a0ebd4f4a93e44f9,10.1128/jb.91.4.1494-1508.1966,Distribution and Function of Genes Concerned with Aromatic Biosynthesis in Escherichia coli,MECHANISM_BOUNDARY,Distribution and Function of Genes Concerned with Aromatic Biosynthesis in Escherichia coli,,,,REVIEW_REQUIRED,0.24,"{""doi_exact"": 0, ""title_token_recall"": 0.3333, ""author_overlap"": 1.0, ""venue_match"": 0, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_verification\pdfs\10.1128_jb.91.4.1494-1508.1966.pdf,
paper_e1e8bfecbd02c6bc,10.1093/genetics/44.1.105,STUDIES ON A SERIES OF TRYPTOPHAN-INDEPENDENT STRAINS DERIVED FROM A TRYPTOPHAN-REQUIRING MUTANT OF ESCHERICHIA COLI,MECHANISM_BOUNDARY,STUDIES ON A SERIES OF TRYPTOPHAN-INDEPENDENT STRAINS DERIVED FROM A TRYPTOPHAN-REQUIRING MUTANT OF ESCHERICHIA COLI,,,,REVIEW_REQUIRED,0.4,"{""doi_exact"": 0, ""title_token_recall"": 1.0, ""author_overlap"": 1.0, ""venue_match"": 0, ""year_match"": 0}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1093_genetics_44.1.105.pdf,
paper_18be86015af2b750,10.1128/jb.118.1.41-45.1974,Biosynthesis of Ubiquinone in Escherichia coli K-12: Biochemical and Genetic Characterization of a Mutant Unable to Convert Chorismate into 4-Hydroxybenzoate,BACKGROUND_EXCLUDE,Biosynthesis of Ubiquinone in Escherichia coli K-12: Biochemical and Genetic Characterization of a Mutant Unable to Convert Chorismate into 4-Hydroxybenzoate,,,,REVIEW_REQUIRED,0.24,"{""doi_exact"": 0, ""title_token_recall"": 0.3333, ""author_overlap"": 1.0, ""venue_match"": 0, ""year_match"": 1}",D:\Users\Starry\Desktop\agent\WAVE_Agent_Platform\artifacts\literature_gold_final\pdfs\10.1128_jb.118.1.41-45.1974.pdf,
